saleid|itemid|customerid|storeid|time|qty|pricerange
36.0|14.0|2.0|38.0|49.0|15.0|moderate
905.0|79.0|119.0|81.0|67.0|44.0|outrageous
227.0|68.0|2.0|66.0|67.0|42.0|supercheap 
541.0|65.0|2.0|26.0|39.0|14.0|expensive
685.0|89.0|51.0|66.0|67.0|22.0|outrageous
699.0|18.0|2.0|7.0|67.0|25.0|outrageous
452.0|89.0|2.0|61.0|61.0|11.0|outrageous
358.0|67.0|2.0|30.0|67.0|47.0|supercheap 
25.0|67.0|2.0|44.0|67.0|2.0|expensive
834.0|83.0|102.0|48.0|49.0|26.0|outrageous
321.0|67.0|23.0|46.0|100.0|30.0|outrageous
605.0|84.0|2.0|18.0|67.0|22.0|outrageous
885.0|82.0|2.0|57.0|30.0|39.0|expensive
933.0|87.0|2.0|65.0|67.0|37.0|cheap
803.0|85.0|59.0|64.0|67.0|24.0|supercheap 
804.0|83.0|2.0|61.0|67.0|11.0|outrageous
576.0|71.0|57.0|95.0|67.0|41.0|expensive
536.0|76.0|2.0|27.0|67.0|15.0|outrageous
542.0|88.0|2.0|52.0|67.0|4.0|outrageous
382.0|72.0|180.0|77.0|67.0|26.0|outrageous
244.0|83.0|2.0|75.0|67.0|27.0|expensive
891.0|64.0|2.0|10.0|67.0|34.0|outrageous
128.0|81.0|43.0|85.0|49.0|26.0|expensive
295.0|80.0|2.0|25.0|84.0|34.0|outrageous
203.0|20.0|41.0|40.0|67.0|3.0|outrageous
870.0|89.0|185.0|67.0|67.0|31.0|outrageous
710.0|87.0|59.0|78.0|69.0|5.0|outrageous
496.0|98.0|51.0|84.0|76.0|5.0|supercheap 
984.0|140.0|36.0|45.0|67.0|5.0|moderate
410.0|101.0|185.0|22.0|92.0|5.0|cheap
570.0|92.0|2.0|87.0|49.0|5.0|outrageous
710.0|87.0|59.0|78.0|69.0|5.0|outrageous
